Name,Link,"password
",有效性
北京大学 Control Theory for Smart Swarms 全2讲 主讲-谢广明 视频教程,https://pan.baidu.com/s/1kUJSh9P,"s47u
",链接无效
北京大学 Degenerate Elliptic Partial Differential Equations 全15讲 主讲-韩青 视频教程,https://pan.baidu.com/s/1pLqoapl,"zjvz
",链接无效
北京大学 ICT产业标准专利许可政策及反垄断规制 全8讲 主讲-张平 视频教程,https://pan.baidu.com/s/1pK8o9U7,"k5ji
",链接无效
北京大学 PSO搜索特性的理论分析 全16讲 主讲-谭营 视频教程,https://pan.baidu.com/s/1eSEmTrG,"bait
",链接无效
北京大学 RNA干扰技术及其在脑血管疾病治疗中应用的实验研究 全4讲 主讲-周长满 视频教程,https://pan.baidu.com/s/1pLV50wF,"v8tn
",链接无效
北京大学 Studies on the Derivatives of NAD and its Metabolites in Cell Signaling 全3讲 视频教程,https://pan.baidu.com/s/1qYV30QS,"8per
",链接无效
北京大学 “大”与“小”的关系漫谈史学论文的选题与写作 全5讲 主讲-李剑鸣 视频教程,https://pan.baidu.com/s/1miSnLOW,"jyl5
",链接无效
北京大学 “国会”与辛亥革命 全8讲 主讲-袁刚 视频教程,https://pan.baidu.com/s/1miko5G8,"4f7m
",链接无效
北京大学 “跨越”与“不可跨越”几代马克思主义者对一道难题的求解 全6讲 主讲-聂锦芳 视频教程,https://pan.baidu.com/s/1dFexhbb,"62kg
",链接无效
北京大学 “中和中庸”思想的古为今用 全4讲 主讲-金开诚 视频教程,https://pan.baidu.com/s/1gfAhdfX,"kukq
",链接无效
北京大学 “祖宗之法”与北宋政治 全4讲 主讲-邓小南 视频教程,https://pan.baidu.com/s/1bp6Rx3h,"tp0s
",链接无效
北京大学 《钢的琴》阶级或因父之名 全4讲 主讲-戴锦华 视频教程,https://pan.baidu.com/s/1boCGUK3,"anvb
",链接无效
北京大学 阿拉伯文学复兴 全4讲 主讲-仲跻昆 视频教程,https://pan.baidu.com/s/1c1P6b0c,"asoe
",链接无效
北京大学 阿拉伯语基础发音 全5讲 主讲-付志明.法特 视频教程,https://pan.baidu.com/s/1bBwT5s,"p40s
",链接无效
北京大学 巴哈伊教系列讲座 全13讲 主讲人-蔡德贵 视频教程,https://pan.baidu.com/s/1bZJwAE,"4j9d
",链接无效
北京大学 百年科技的历史回顾与哲学反思 全4讲 主讲-吴国盛 视频教程,https://pan.baidu.com/s/1gfCOWfx,"01hh
",链接无效
有效链接测试,https://pan.baidu.com/s/1ej8clyZkLM2YYUO8hb9TRA,"sdss
",有效
